design,arrival_2,cells_p2,size_gates
251,0.04249,4-5-9,X2-X1-X1-X1-X4-X4
8,0.04255,4-5-9,X1-X1-X1-X1-X4-X4
5,0.04311,4-5-9,X1-X1-X1-X1-X2-X4
332,0.04363,4-5-9,X2-X2-X1-X1-X4-X4
278,0.04364,4-5-9,X2-X1-X2-X1-X4-X4
89,0.04369,4-5-9,X1-X2-X1-X1-X4-X4
35,0.04373,4-5-9,X1-X1-X2-X1-X4-X4
260,0.04378,4-5-9,X2-X1-X1-X2-X4-X4
494,0.0438,4-5-9,X4-X1-X1-X1-X4-X4
17,0.04385,4-5-9,X1-X1-X1-X2-X4-X4
248,0.04405,4-5-9,X2-X1-X1-X1-X2-X4
86,0.04422,4-5-9,X1-X2-X1-X1-X2-X4
14,0.04445,4-5-7,X1-X1-X1-X2-X2-X4
4,0.04469,4-5-9,X1-X1-X1-X1-X2-X2
359,0.04478,4-5-9,X2-X2-X2-X1-X4-X4
521,0.04487,4-5-9,X4-X1-X2-X1-X4-X4
116,0.04487,4-5-9,X1-X2-X2-X1-X4-X4
287,0.04493,4-5-9,X2-X1-X2-X2-X4-X4
575,0.04493,4-5-9,X4-X2-X1-X1-X4-X4
341,0.04493,4-5-9,X2-X2-X1-X2-X4-X4
